motif	factor
Forkhead_M6055_1.01	FOXI4.2
Forkhead_M6055_1.01	FOXJ1
Forkhead_M6055_1.01	FOXJ1.2
Forkhead_M6055_1.01	FOXJ2
Forkhead_M6055_1.01	FOXJ3
Forkhead_M6055_1.01	FOXK2
Forkhead_M6055_1.01	FOXL1
Forkhead_M6055_1.01	FOXL2
Forkhead_M6055_1.01	FOXQ1
C2H2_ZF_M6376_1.01	ZNF384
Unknown_Average_6	BPTF
ARID_BRIGHT_Average_4	ARID5B
Nuclear_receptor_Average_171	AR
Nuclear_receptor_Average_171	NR3C1
Nuclear_receptor_Average_171	NR3C2
Nuclear_receptor_Average_171	PGR
Nuclear_receptor_M1354_1.01	AR
Nuclear_receptor_M1354_1.01	NR3C1
Nuclear_receptor_M1354_1.01	NR3C2
Nuclear_receptor_M1354_1.01	PGR
Nuclear_receptor_Average_157	AR
Nuclear_receptor_Average_157	NR3C1
Nuclear_receptor_Average_157	NR3C2
Nuclear_receptor_Average_157	PGR
Sox_Average_91	SOX1
Sox_Average_91	SOX10
Sox_Average_91	SOX13
Sox_Average_91	SOX14
Sox_Average_91	SOX17A
Sox_Average_91	SOX17B.1
Sox_Average_91	SOX2
Sox_Average_91	SOX21
Sox_Average_91	SOX5
Sox_Average_91	SOX6
Sox_Average_91	SOX8
Sox_Average_91	SOX9
Sox_Average_82	SOX1
Sox_Average_82	SOX10
Sox_Average_82	SOX11
Sox_Average_82	SOX14
Sox_Average_82	SOX15
Sox_Average_82	SOX2
Sox_Average_82	SOX21
Sox_Average_82	SOX3
Sox_Average_82	SOX4
Sox_Average_82	SOX6
Sox_Average_82	SOX9
Sox_M6293_1.01	SOX18
Mixed_Average_51	PAX4
Mixed_Average_51	PAX4
AT_hook_M0131_1.01	AHCTF1
Forkhead_M0644_1.01	FOXM1
Forkhead_M6063_1.01	FOXM1
Forkhead_Average_98	FOXA1
Forkhead_Average_98	FOXA2
Forkhead_Average_98	FOXA4
Forkhead_Average_98	FOXB1
Forkhead_Average_98	FOXB2
Forkhead_Average_98	FOXC1
Forkhead_Average_98	FOXC2
Forkhead_Average_98	FOXD1
Forkhead_Average_98	FOXD2
Forkhead_Average_98	FOXD3
Forkhead_Average_98	FOXD4L1.1
Forkhead_Average_98	FOXD4L1.2
Forkhead_Average_98	FOXE1
Forkhead_Average_98	FOXE3
Forkhead_Average_98	FOXF1
Forkhead_Average_98	FOXF2
Forkhead_Average_98	FOXG1
Forkhead_Average_98	FOXI1
Forkhead_Average_98	FOXI2
Forkhead_Average_98	FOXI4.1
Forkhead_Average_98	FOXI4.2
Forkhead_Average_98	FOXJ1
Forkhead_Average_98	FOXJ1.2
Forkhead_Average_98	FOXJ2
Forkhead_Average_98	FOXJ3
Forkhead_Average_98	FOXK2
Forkhead_Average_98	FOXL1
Forkhead_Average_98	FOXL2
Forkhead_Average_98	FOXO1
Forkhead_Average_98	FOXO3
Forkhead_Average_98	FOXO4
Forkhead_Average_98	FOXO6
Forkhead_Average_98	FOXP1
Forkhead_Average_98	FOXP2
Forkhead_Average_98	FOXP3
Forkhead_Average_98	FOXP4
Forkhead_Average_98	FOXQ1
Forkhead_Average_104	FOXA1
Forkhead_Average_104	FOXA2
Forkhead_Average_104	FOXA4
Forkhead_Average_104	FOXB1
Forkhead_Average_104	FOXB2
Forkhead_Average_104	FOXC1
Forkhead_Average_104	FOXC2
Forkhead_Average_104	FOXD1
Forkhead_Average_104	FOXD2
Forkhead_Average_104	FOXD3
Forkhead_Average_104	FOXD4L1.1
Forkhead_Average_104	FOXD4L1.2
Forkhead_Average_104	FOXE1
Forkhead_Average_104	FOXE3
Forkhead_Average_104	FOXF1
Forkhead_Average_104	FOXF2
Forkhead_Average_104	FOXI1
Forkhead_Average_104	FOXI2
Forkhead_Average_104	FOXI4.1
Forkhead_Average_104	FOXI4.2
Forkhead_Average_104	FOXJ1
Forkhead_Average_104	FOXJ1.2
Forkhead_Average_104	FOXJ2
Forkhead_Average_104	FOXJ3
Forkhead_Average_104	FOXK2
Forkhead_Average_104	FOXL1
Forkhead_Average_104	FOXL2
Forkhead_Average_104	FOXQ1
Homeodomain_M3061_1.01	EN1
Homeodomain_M3061_1.01	EN2
Homeodomain_M1729_1.01	EN1
Homeodomain_M1729_1.01	EN2
Nuclear_receptor_M6157_1.01	AR
Nuclear_receptor_M6157_1.01	NR3C1
Nuclear_receptor_M6157_1.01	NR3C2
Nuclear_receptor_M6157_1.01	PGR
Sox_Average_46	SOX1
Sox_Average_46	SOX10
Sox_Average_46	SOX11
Sox_Average_46	SOX14
Sox_Average_46	SOX15
Sox_Average_46	SOX17A
Sox_Average_46	SOX17B.1
Sox_Average_46	SOX18
Sox_Average_46	SOX2
Sox_Average_46	SOX21
Sox_Average_46	SOX3
Sox_Average_46	SOX4
Sox_Average_46	SOX7
Sox_Average_46	SOX8
Sox_Average_46	SOX9
Sox_Average_96	SOX1
Sox_Average_96	SOX10
Sox_Average_96	SOX14
Sox_Average_96	SOX15
Sox_Average_96	SOX17A
Sox_Average_96	SOX17B.1
Sox_Average_96	SOX18
Sox_Average_96	SOX2
Sox_Average_96	SOX21
Sox_Average_96	SOX3
Sox_Average_96	SOX7
Sox_Average_96	SOX8
Sox_Average_96	SOX9
Sox_Average_54	SOX10
Sox_Average_54	SOX2
Sox_Average_54	SOX21
Sox_Average_54	SOX7
Sox_Average_54	SOX8
Sox_Average_54	SOX9
Sox_M6292_1.01	SOX17A
Sox_M6292_1.01	SOX17B.1
C2H2_ZF_Average_220	MECOM
C2H2_ZF_Average_220	PRDM16
C2H2_ZF_M3098_1.01	MECOM
C2H2_ZF_M3098_1.01	PRDM16
Myb_SANT_Average_3	CDC5L
Rel_Average_25	NFKB1
Rel_Average_25	NFKB2
C2H2_ZF_M6363_1.01	HIVEP1
C2H2_ZF_M6363_1.01	HIVEP2
C2H2_ZF_M6363_1.01	HIVEP3
Rel_Average_28	NFKB1
Rel_Average_28	REL
Rel_Average_28	RELA
Rel_Average_28	RELB
C2H2_ZF_M6364_1.01	HIVEP1
C2H2_ZF_M6364_1.01	HIVEP2
C2H2_ZF_M6364_1.01	HIVEP3
Rel_M6189_1.01	NFKB2
STAT_Average_23	STAT1
STAT_Average_23	STAT3.1
STAT_Average_23	STAT4
STAT_Average_23	STAT5B
STAT_M3856_1.01	STAT5B
C2H2_ZF_Average_202	BCL6
STAT_Average_16	STAT6
STAT_Average_22	STAT1
STAT_Average_22	STAT4
STAT_Average_22	STAT5B
STAT_Average_22	STAT6
Ets_Average_109	EHF
Ets_Average_109	ELF1
Ets_Average_109	ELF2
Ets_Average_109	ELF3
Ets_Average_109	ELF5
Ets_Average_109	ELK1
Ets_Average_109	ELK3
Ets_Average_109	ELK4
Ets_Average_109	ERF
Ets_Average_109	ERG
Ets_Average_109	ETS1
Ets_Average_109	ETS2
Ets_Average_109	ETV1
Ets_Average_109	ETV2
Ets_Average_109	ETV3
Ets_Average_109	ETV4
Ets_Average_109	ETV6
Ets_Average_109	ETV7
Ets_Average_109	FEV
Ets_Average_109	FLI1
Ets_Average_109	GABPA
Ets_Average_109	SPDEF
Nuclear_receptor_Average_20	NR2C1
Nuclear_receptor_Average_20	NR2C2
Ets_M6024_1.01	EHF
Ets_M6024_1.01	ELF3
Ets_M6024_1.01	ELF5
Ets_M1778_1.01	SPI1
Ets_M1778_1.01	SPIB
Ets_M6042_1.01	ELK1
Ets_M6042_1.01	ELK3
Ets_M6042_1.01	ELK4
Ets_M6042_1.01	ERG
Ets_M6042_1.01	ETS1
Ets_M6042_1.01	ETS2
Ets_M6042_1.01	ETV1
Ets_M6042_1.01	ETV2
Ets_M6042_1.01	FEV
Ets_M6042_1.01	GABPA
Ets_Average_70	SPDEF
C2H2_ZF_Average_185	IKZF1
C2H2_ZF_Average_185	IKZF4
CSL_M6318_1.01	RBPJ
C2H2_ZF_Average_181	IKZF1
C2H2_ZF_Average_181	IKZF4
TEA_Average_5	TEAD1
TEA_Average_5	TEAD4
TEA_Average_1	TEAD1
Rel_Average_30	NFAT5
Rel_M6180_1.01	NFATC1
Rel_M6180_1.01	NFATC2
Rel_M6180_1.01	NFATC3
Rel_M6180_1.01	NFATC4
Rel_Average_32	NFAT5
Rel_Average_32	NFATC1
Rel_Average_32	NFATC2
Rel_Average_32	NFATC3
Rel_Average_32	NFATC4
Rel_M5475_1.01	NFATC1
Rel_M5475_1.01	NFATC2
Rel_M5475_1.01	NFATC3
Rel_M5475_1.01	NFATC4
bZIP_Average_145	ATF2
bZIP_Average_145	ATF7
bZIP_Average_145	CREB5
bZIP_Average_145	DBP
bZIP_Average_145	HLF
bZIP_Average_145	NFIL3
bZIP_Average_145	TEF
bZIP_Average_145	THIBZ
bZIP_M0309_1.01	NFIL3
bZIP_M0309_1.01	THIBZ
bZIP_Average_153	CEBPA
bZIP_Average_153	CEBPB
bZIP_Average_153	CEBPD
bZIP_Average_153	CEBPE
bZIP_Average_153	CEBPG
bZIP_M2910_1.01	CEBPA
bZIP_M2910_1.01	CEBPB
bZIP_M2910_1.01	CEBPD
Mixed_Average_14	IRF5
Homeodomain_M6344_1.01	TLX1
Homeodomain_M6344_1.01	TLX3
Homeodomain_M6345_1.01	TLX1
Homeodomain_M6345_1.01	TLX3
Unknown_M6097_1.01	HLTF
HSF_Average_6	HSF1
HSF_Average_6	HSF2
HSF_Average_6	HSF4
HSF_Average_8	HSF1
HSF_Average_8	HSF2
HSF_Average_8	HSF4
C2H2_ZF_M0402_1.01	ZBTB12
RFX_Average_29	RFX1
RFX_Average_29	RFX2
RFX_Average_29	RFX3
RFX_Average_29	RFX4
RFX_Average_29	RFX5
RFX_Average_29	RFX6
RFX_Average_29	RFX7
Rel_M5477_1.01	NFATC1
Rel_M5477_1.01	NFATC2
Rel_M5477_1.01	NFATC3
Rel_M5477_1.01	NFATC4
Mixed_Average_13	SOX1
Mixed_Average_13	SOX14
Mixed_Average_13	SOX2
Mixed_Average_13	SOX21
Mixed_Average_13	SOX3
Mixed_Average_13	POU3F1
Mixed_Average_13	POU3F4
Mixed_Average_13	POU5F3.1
Mixed_Average_13	POU5F3.2
Mixed_Average_13	POU5F3.3
Homeodomain_Average_79	IRX1
Homeodomain_Average_79	IRX2
Homeodomain_Average_79	IRX3
Homeodomain_Average_79	IRX4
Homeodomain_Average_79	IRX5
Homeodomain_Average_79	IRX6
Homeodomain_M5856_1.01	IRX1
Homeodomain_M5856_1.01	IRX2
