motif	factor
Mixed_Average_47	FOXL1
Mixed_Average_47	FOXL2
Mixed_Average_47	FOXQ1
Forkhead_M3127_1.01	FOXA1
Forkhead_M3127_1.01	FOXA2
Forkhead_M3127_1.01	FOXA4
Forkhead_M3127_1.01	FOXB1
Forkhead_M3127_1.01	FOXC1
Forkhead_M3127_1.01	FOXC2
Forkhead_M3127_1.01	FOXD1
Forkhead_M3127_1.01	FOXD2
Forkhead_M3127_1.01	FOXD3
Forkhead_M3127_1.01	FOXD4L1.1
Forkhead_M3127_1.01	FOXD4L1.2
Forkhead_M3127_1.01	FOXE1
Forkhead_M3127_1.01	FOXE3
Forkhead_M3127_1.01	FOXF1
Forkhead_M3127_1.01	FOXF2
Forkhead_M3127_1.01	FOXI1
Forkhead_M3127_1.01	FOXI2
Forkhead_M3127_1.01	FOXI4.1
Forkhead_M3127_1.01	FOXI4.2
Forkhead_M3127_1.01	FOXJ1
Forkhead_M3127_1.01	FOXJ1.2
Forkhead_M3127_1.01	FOXJ2
Forkhead_M3127_1.01	FOXJ3
Forkhead_M3127_1.01	FOXK2
Forkhead_M3127_1.01	FOXL1
Forkhead_M3127_1.01	FOXL2
AT_hook_M6099_1.01	HMGA2
AT_hook_M0133_1.01	PHF21A
Homeodomain_POU_M6236_1.01	POU1F1
Homeodomain_POU_Average_46	POU2F1
Homeodomain_POU_Average_46	POU2F2
Homeodomain_POU_Average_46	POU2F3
Homeodomain_POU_Average_46	POU3F1
Homeodomain_POU_Average_46	POU3F3
Homeodomain_POU_Average_46	POU3F4
Homeodomain_POU_Average_45	POU1F1
Homeodomain_POU_Average_45	POU3F1
Homeodomain_POU_Average_45	POU3F2
Homeodomain_POU_Average_45	POU3F3
Homeodomain_POU_Average_45	POU3F4
Homeodomain_POU_Average_45	POU4F1
Homeodomain_POU_Average_45	POU4F1.2
Homeodomain_POU_Average_45	POU4F2
Homeodomain_POU_Average_45	POU4F3
ARID_BRIGHT_M5966_1.01	ARID3A
ARID_BRIGHT_M5966_1.01	ARID3B
Homeodomain_M6123_1.01	HOXA10
Homeodomain_M6123_1.01	HOXA5
Homeodomain_M6123_1.01	HOXA6
Homeodomain_M6123_1.01	HOXA7
Homeodomain_M6123_1.01	HOXA9
Homeodomain_M6123_1.01	HOXB5
Homeodomain_M6123_1.01	HOXB7
Homeodomain_M6123_1.01	HOXB9
Homeodomain_M6123_1.01	HOXC10
Homeodomain_M6123_1.01	HOXC5
Homeodomain_M6123_1.01	HOXC6
Homeodomain_M6123_1.01	HOXC9
Homeodomain_M6123_1.01	HOXD10
Homeodomain_M6123_1.01	HOXD9
Homeodomain_M6108_1.01	HOXA10
Homeodomain_M6108_1.01	HOXA6
Homeodomain_M6108_1.01	HOXA7
Homeodomain_M6108_1.01	HOXA9
Homeodomain_M6108_1.01	HOXB7
Homeodomain_M6108_1.01	HOXB9
Homeodomain_M6108_1.01	HOXC10
Homeodomain_M6108_1.01	HOXC6
Homeodomain_M6108_1.01	HOXC9
Homeodomain_M6108_1.01	HOXD10
Homeodomain_M6108_1.01	HOXD9
Homeodomain_M0992_1.01	PBX1
Homeodomain_M0992_1.01	PBX2
Homeodomain_M0992_1.01	PBX3
TBP_M3884_1.01	TBP
TBP_M3884_1.01	TBPL2
TBP_Average_1	TBP
TBP_Average_1	TBPL2
Mixed_Average_45	CPEB1
Mixed_Average_45	TBP
Mixed_Average_45	TBPL2
Mixed_Average_45	CDX1
Mixed_Average_45	CDX2
Mixed_Average_45	CDX4
Mixed_Average_45	HOXA10
Mixed_Average_45	HOXA11
Mixed_Average_45	HOXA13
Mixed_Average_45	HOXA5
Mixed_Average_45	HOXA6
Mixed_Average_45	HOXA7
Mixed_Average_45	HOXA9
Mixed_Average_45	HOXB5
Mixed_Average_45	HOXB7
Mixed_Average_45	HOXB9
Mixed_Average_45	HOXC10
Mixed_Average_45	HOXC11
Mixed_Average_45	HOXC12
Mixed_Average_45	HOXC13
Mixed_Average_45	HOXC5
Mixed_Average_45	HOXC6
Mixed_Average_45	HOXC9
Mixed_Average_45	HOXD10
Mixed_Average_45	HOXD11
Mixed_Average_45	HOXD13
Mixed_Average_45	HOXD9
Homeodomain_Average_386	CDX1
Homeodomain_Average_386	CDX2
Homeodomain_Average_386	CDX4
Homeodomain_Average_238	BARHL1
Homeodomain_Average_238	BARHL2
Homeodomain_M6121_1.01	HOXA13
Homeodomain_M6121_1.01	HOXD13
Homeodomain_M2900_1.01	CDX1
Homeodomain_M2900_1.01	CDX2
Homeodomain_M2900_1.01	CDX4
bZIP_M6329_1.01	DBP
bZIP_M6329_1.01	HLF
bZIP_M6329_1.01	TEF
Forkhead_M1735_1.01	FOXA1
Forkhead_M1735_1.01	FOXA2
Forkhead_M1735_1.01	FOXA4
Forkhead_M1735_1.01	FOXB1
Forkhead_M1735_1.01	FOXB2
Forkhead_M1735_1.01	FOXC1
Forkhead_M1735_1.01	FOXC2
Forkhead_M1735_1.01	FOXD1
Forkhead_M1735_1.01	FOXD2
Forkhead_M1735_1.01	FOXD3
Forkhead_M1735_1.01	FOXD4L1.1
Forkhead_M1735_1.01	FOXD4L1.2
Forkhead_M1735_1.01	FOXE1
Forkhead_M1735_1.01	FOXE3
Forkhead_M1735_1.01	FOXF1
Forkhead_M1735_1.01	FOXF2
Forkhead_M1735_1.01	FOXI1
Forkhead_M1735_1.01	FOXI2
Forkhead_M1735_1.01	FOXI4.1
Forkhead_M1735_1.01	FOXI4.2
Forkhead_M1735_1.01	FOXJ1
Forkhead_M1735_1.01	FOXJ1.2
Forkhead_M1735_1.01	FOXJ2
Forkhead_M1735_1.01	FOXJ3
Forkhead_M1735_1.01	FOXK2
Forkhead_M1735_1.01	FOXL1
Forkhead_M1735_1.01	FOXL2
Forkhead_M1735_1.01	FOXQ1
GATA_M3198_1.01	GATA1
GATA_M3198_1.01	GATA2
GATA_M3198_1.01	GATA3
GATA_M3198_1.01	GATA4
GATA_M3198_1.01	GATA5
GATA_M3198_1.01	GATA6
Homeodomain_POU_M3550_1.01	POU2F1
Homeodomain_POU_M3550_1.01	POU3F4
Mixed_Average_31	NFYA
Mixed_Average_31	CEBPZ
Mixed_Average_31	NFYB
Mixed_Average_31	NFYC
Mixed_Average_31	PBX1
Mixed_Average_31	PBX2
Mixed_Average_31	PBX3
Mixed_Average_31	FOXA1
Mixed_Average_31	FOXA2
Mixed_Average_31	FOXA4
Mixed_Average_31	FOXB1
Mixed_Average_31	FOXB2
Mixed_Average_31	FOXC1
Mixed_Average_31	FOXC2
Mixed_Average_31	FOXD1
Mixed_Average_31	FOXD2
Mixed_Average_31	FOXD3
Mixed_Average_31	FOXD4L1.1
Mixed_Average_31	FOXD4L1.2
Mixed_Average_31	FOXE1
Mixed_Average_31	FOXE3
Mixed_Average_31	FOXF1
Mixed_Average_31	FOXF2
Mixed_Average_31	FOXI1
Mixed_Average_31	FOXI2
Mixed_Average_31	FOXI4.1
Mixed_Average_31	FOXI4.2
Mixed_Average_31	FOXJ1
Mixed_Average_31	FOXJ1.2
Mixed_Average_31	FOXJ2
Mixed_Average_31	FOXJ3
Mixed_Average_31	FOXK2
Mixed_Average_31	FOXL1
Mixed_Average_31	FOXL2
Mixed_Average_31	FOXQ1
Mixed_Average_31	FOS
Mixed_Average_31	FOSB
Mixed_Average_31	FOSL1
Mixed_Average_31	FOSL2
CSD_M6356_1.01	YBX1
CSD_M6356_1.01	YBX2
Homeodomain_M6112_1.01	HOXA3
Homeodomain_M6112_1.01	HOXA5
Homeodomain_M6112_1.01	HOXA6
Homeodomain_M6112_1.01	HOXA7
Homeodomain_M6112_1.01	HOXA9
Homeodomain_M6112_1.01	HOXB3
Homeodomain_M6112_1.01	HOXB4
Homeodomain_M6112_1.01	HOXB5
Homeodomain_M6112_1.01	HOXB7
Homeodomain_M6112_1.01	HOXB8
Homeodomain_M6112_1.01	HOXB9
Homeodomain_M6112_1.01	HOXC3
Homeodomain_M6112_1.01	HOXC4
Homeodomain_M6112_1.01	HOXC5
Homeodomain_M6112_1.01	HOXC6
Homeodomain_M6112_1.01	HOXC8
Homeodomain_M6112_1.01	HOXC9
Homeodomain_M6112_1.01	HOXD3
Homeodomain_M6112_1.01	HOXD4
Homeodomain_M6112_1.01	HOXD8
Homeodomain_M6112_1.01	PDX1
C2H2_ZF_Average_174	GFI1
C2H2_ZF_Average_174	GFI1B
Homeodomain_Average_28	LHX6
Homeodomain_Average_28	LHX8
bZIP_M6006_1.01	DDIT3
Homeodomain_M6365_1.01	ZFHX3
Homeodomain_Average_355	HNF1A
Homeodomain_Average_355	HNF1B
Forkhead_Average_103	FOXA1
Forkhead_Average_103	FOXA2
Forkhead_Average_103	FOXA4
Forkhead_Average_103	FOXB1
Forkhead_Average_103	FOXB2
Forkhead_Average_103	FOXC1
Forkhead_Average_103	FOXC2
Forkhead_Average_103	FOXD1
Forkhead_Average_103	FOXD2
Forkhead_Average_103	FOXD3
Forkhead_Average_103	FOXD4L1.1
Forkhead_Average_103	FOXD4L1.2
Forkhead_Average_103	FOXE1
Forkhead_Average_103	FOXE3
Forkhead_Average_103	FOXF1
Forkhead_Average_103	FOXF2
Forkhead_Average_103	FOXI1
Forkhead_Average_103	FOXI2
Forkhead_Average_103	FOXI4.1
Forkhead_Average_103	FOXI4.2
Forkhead_Average_103	FOXJ1
Forkhead_Average_103	FOXJ1.2
Forkhead_Average_103	FOXJ2
Forkhead_Average_103	FOXJ3
Forkhead_Average_103	FOXK2
Forkhead_Average_103	FOXL1
Forkhead_Average_103	FOXL2
Forkhead_Average_103	FOXQ1
Homeodomain_M5445_1.01	MEOX2
Homeodomain_M2886_1.01	ALX1
Homeodomain_M2886_1.01	ALX4
Homeodomain_M2886_1.01	ARX
Homeodomain_M2886_1.01	DMBX1
Homeodomain_M2886_1.01	OTP
Homeodomain_M2886_1.01	PAX3
Homeodomain_M2886_1.01	PHOX2A
Homeodomain_M2886_1.01	PHOX2B
Homeodomain_M2886_1.01	PRRX1
Homeodomain_M2886_1.01	PRRX2
Homeodomain_M2886_1.01	RAX
Homeodomain_M2886_1.01	VSX2
Homeodomain_M6120_1.01	HOXA10
Homeodomain_M6120_1.01	HOXA11
Homeodomain_M6120_1.01	HOXA9
Homeodomain_M6120_1.01	HOXB9
Homeodomain_M6120_1.01	HOXC10
Homeodomain_M6120_1.01	HOXC9
Homeodomain_M6120_1.01	HOXD10
Homeodomain_Average_101	POU6F1
Homeodomain_Average_101	POU6F2
Homeodomain_M6118_1.01	HOXA3
Homeodomain_M6118_1.01	HOXA5
Homeodomain_M6118_1.01	HOXA6
Homeodomain_M6118_1.01	HOXA7
Homeodomain_M6118_1.01	HOXA9
Homeodomain_M6118_1.01	HOXB3
Homeodomain_M6118_1.01	HOXB4
Homeodomain_M6118_1.01	HOXB5
Homeodomain_M6118_1.01	HOXB7
Homeodomain_M6118_1.01	HOXB8
Homeodomain_M6118_1.01	HOXB9
Homeodomain_M6118_1.01	HOXC4
Homeodomain_M6118_1.01	HOXC5
Homeodomain_M6118_1.01	HOXC6
Homeodomain_M6118_1.01	HOXC8
Homeodomain_M6118_1.01	HOXC9
Homeodomain_M6118_1.01	HOXD3
Homeodomain_M6118_1.01	HOXD4
Homeodomain_M6118_1.01	HOXD8
Mixed_Average_49	GATA1
Mixed_Average_49	GATA2
Mixed_Average_49	GATA3
Mixed_Average_49	GATA4
Mixed_Average_49	GATA5
Mixed_Average_49	GATA6
Mixed_Average_49	LMO2
Homeodomain_M0848_1.01	SIX3
Homeodomain_M0848_1.01	SIX6
GATA_Average_33	GATA1
GATA_Average_33	GATA2
GATA_Average_33	GATA3
GATA_Average_33	GATA4
GATA_Average_33	GATA5
GATA_Average_33	GATA6
GATA_M4535_1.01	GATA1
GATA_M4535_1.01	GATA2
GATA_M4535_1.01	GATA3
GATA_M4535_1.01	GATA4
GATA_M4535_1.01	GATA5
GATA_M4535_1.01	GATA6
DM_Average_5	DMRT1
DM_Average_5	DMRT3
CxC_M0529_1.01	LIN54
Mixed_Average_37	CUX1
Mixed_Average_37	CUX2
Mixed_Average_37	PAX3
Mixed_Average_37	PAX7
DM_M0564_1.01	DMRT2
DM_M0564_1.01	DMRTA1
CUT_Homeodomain_Average_10	CUX1
CUT_Homeodomain_Average_10	CUX2
Homeodomain_POU_M6245_1.01	POU3F1
Homeodomain_POU_M6245_1.01	POU3F2
Homeodomain_POU_M6245_1.01	POU3F4
CUT_Homeodomain_Average_9	ONECUT1
CUT_Homeodomain_Average_9	ONECUT1.2
CUT_Homeodomain_Average_9	ONECUT2
CUT_Homeodomain_Average_9	ONECUT3
CUT_Homeodomain_Average_5	CUX1
CUT_Homeodomain_Average_5	CUX2
Homeodomain_Average_142	HOXA1
Homeodomain_Average_142	HOXA2
Homeodomain_Average_142	HOXB1
Homeodomain_Average_142	HOXB2
Homeodomain_Average_142	HOXD1
CUT_Homeodomain_M5151_1.01	CUX1
CUT_Homeodomain_M5151_1.01	CUX2
Sox_Average_95	BBX
Sox_Average_95	HBP1
Unknown_M6070_1.01	FUBP1
CUT_Homeodomain_M2892_1.01	CUX1
CUT_Homeodomain_M2892_1.01	CUX2
Ets_Average_53	SPDEF
Mixed_Average_43	ELF1
Mixed_Average_43	ELF2
Mixed_Average_43	SPI1
Mixed_Average_43	SPIB
Mixed_Average_43	SPIC
Mixed_Average_43	PRDM1
Ets_M5244_1.01	ETV6
Mixed_Average_30	BCL11A
Mixed_Average_30	BCL11B
Mixed_Average_30	IRF4
Mixed_Average_12	IRF1
Mixed_Average_12	IRF2
Mixed_Average_12	IRF3
Mixed_Average_12	IRF4
Mixed_Average_12	IRF5
Mixed_Average_12	IRF7
Mixed_Average_12	IRF8
Mixed_Average_12	IRF9
Mixed_Average_12	STAT2
IRF_M5396_1.01	IRF7
IRF_M6130_1.01	IRF5
bZIP_M5973_1.01	ATF5
bZIP_M5973_1.01	ATF5.2
Sox_M5909_1.01	SOX1
Sox_M5909_1.01	SOX14
Sox_M5909_1.01	SOX2
Sox_M5909_1.01	SOX21
Sox_Average_55	SOX10
Sox_Average_55	SOX8
Sox_Average_55	SOX9
Prospero_M5572_1.01	PROX1
Homeodomain_POU_M3642_1.01	POU3F1
Homeodomain_POU_M3642_1.01	POU3F2
Homeodomain_POU_M3642_1.01	POU3F4
Nuclear_receptor_Average_85	NR6A1
E2F_Average_24	E2F3
E2F_Average_24	E2F4
E2F_Average_24	E2F5
E2F_Average_24	E2F7
E2F_Average_24	E2F8
Unknown_M3394_1.01	TOPORS
Unknown_Average_5	NRF1
T-box_M6030_1.01	EOMES
T-box_M6030_1.01	TBR1
T-box_M6030_1.01	TBX21
T-box_M6030_1.01	T
T-box_M6030_1.01	VEGT
Forkhead_Average_66	FOXA1
Forkhead_Average_66	FOXA2
Forkhead_Average_66	FOXA4
Forkhead_Average_66	FOXB1
Forkhead_Average_66	FOXB2
Forkhead_Average_66	FOXC1
Forkhead_Average_66	FOXC2
Forkhead_Average_66	FOXD1
Forkhead_Average_66	FOXD2
Forkhead_Average_66	FOXD3
Forkhead_Average_66	FOXD4L1.1
Forkhead_Average_66	FOXD4L1.2
Forkhead_Average_66	FOXE1
Forkhead_Average_66	FOXE3
Forkhead_Average_66	FOXF1
Forkhead_Average_66	FOXF2
Forkhead_Average_66	FOXG1
Forkhead_Average_66	FOXI1
Forkhead_Average_66	FOXI2
Forkhead_Average_66	FOXI4.1
Forkhead_Average_66	FOXI4.2
Forkhead_Average_66	FOXJ1
Forkhead_Average_66	FOXJ1.2
Forkhead_Average_66	FOXJ2
Forkhead_Average_66	FOXJ3
Forkhead_Average_66	FOXK2
Forkhead_Average_66	FOXL1
Forkhead_Average_66	FOXL2
Forkhead_Average_66	FOXQ1
Forkhead_M5254_1.01	FOXA1
Forkhead_M5254_1.01	FOXA2
Forkhead_M5254_1.01	FOXA4
Forkhead_M5254_1.01	FOXB1
Forkhead_M5254_1.01	FOXB2
Forkhead_M5254_1.01	FOXC1
Forkhead_M5254_1.01	FOXC2
Forkhead_M5254_1.01	FOXD1
Forkhead_M5254_1.01	FOXD2
Forkhead_M5254_1.01	FOXD3
Forkhead_M5254_1.01	FOXD4L1.1
Forkhead_M5254_1.01	FOXD4L1.2
Forkhead_M5254_1.01	FOXE1
Forkhead_M5254_1.01	FOXE3
Forkhead_M5254_1.01	FOXF1
Forkhead_M5254_1.01	FOXF2
Forkhead_M5254_1.01	FOXI1
Forkhead_M5254_1.01	FOXI2
Forkhead_M5254_1.01	FOXI4.1
Forkhead_M5254_1.01	FOXI4.2
Forkhead_M5254_1.01	FOXJ1
Forkhead_M5254_1.01	FOXJ1.2
Forkhead_M5254_1.01	FOXJ2
Forkhead_M5254_1.01	FOXJ3
Forkhead_M5254_1.01	FOXK2
Forkhead_M5254_1.01	FOXL1
Forkhead_M5254_1.01	FOXL2
Forkhead_M5254_1.01	FOXQ1
C2H2_ZF_M5841_1.01	HIC1
C2H2_ZF_M5841_1.01	HIC2
C2H2_ZF_Average_166	OSR1
C2H2_ZF_Average_166	OSR2
bHLH_Average_160	AHR
bHLH_Average_160	AHRR
bHLH_Average_160	ARNT
bHLH_Average_160	ARNT2
bHLH_Average_160	HIF1A
bHLH_Average_160	NPAS3
bHLH_Average_160	SIM1
Paired_box_M3590_1.01	PAX1
Paired_box_M3590_1.01	PAX5
Paired_box_M3590_1.01	PAX8
Paired_box_M3590_1.01	PAX9
Forkhead_M1734_1.01	FOXA1
Forkhead_M1734_1.01	FOXA2
Forkhead_M1734_1.01	FOXA4
Forkhead_M1734_1.01	FOXB1
Forkhead_M1734_1.01	FOXB2
Forkhead_M1734_1.01	FOXC1
Forkhead_M1734_1.01	FOXC2
Forkhead_M1734_1.01	FOXD1
Forkhead_M1734_1.01	FOXD2
Forkhead_M1734_1.01	FOXD3
Forkhead_M1734_1.01	FOXD4L1.1
Forkhead_M1734_1.01	FOXD4L1.2
Forkhead_M1734_1.01	FOXE1
Forkhead_M1734_1.01	FOXE3
Forkhead_M1734_1.01	FOXF1
Forkhead_M1734_1.01	FOXF2
Forkhead_M1734_1.01	FOXI1
Forkhead_M1734_1.01	FOXI2
Forkhead_M1734_1.01	FOXI4.1
Forkhead_M1734_1.01	FOXI4.2
Forkhead_M1734_1.01	FOXJ1
Forkhead_M1734_1.01	FOXJ1.2
Forkhead_M1734_1.01	FOXJ2
Forkhead_M1734_1.01	FOXJ3
Forkhead_M1734_1.01	FOXK2
Forkhead_M1734_1.01	FOXL1
Forkhead_M1734_1.01	FOXL2
Forkhead_M1734_1.01	FOXQ1
Homeodomain_M2172_1.01	NKX2-1
Homeodomain_M2172_1.01	NKX2-2
Homeodomain_M2172_1.01	NKX2-3
Homeodomain_M2172_1.01	NKX2-4
Homeodomain_M2172_1.01	NKX2-5
Homeodomain_M2172_1.01	NKX2-6
Homeodomain_M2172_1.01	NKX2-8
Homeodomain_M2172_1.01	NKX3-1
Homeodomain_M2172_1.01	NKX3-2
Homeodomain_Average_72	NKX2-1
Homeodomain_Average_72	NKX2-2
Homeodomain_Average_72	NKX2-3
Homeodomain_Average_72	NKX2-4
Homeodomain_Average_72	NKX2-6
Homeodomain_Average_72	NKX2-8
Homeodomain_M6196_1.01	NKX2-1
Homeodomain_M6196_1.01	NKX2-2
Homeodomain_M6196_1.01	NKX2-3
Homeodomain_M6196_1.01	NKX2-4
Homeodomain_M6196_1.01	NKX2-6
Homeodomain_M6196_1.01	NKX2-8
Homeodomain_M6193_1.01	NKX2-1
Homeodomain_M6193_1.01	NKX2-2
Homeodomain_M6193_1.01	NKX2-3
Homeodomain_M6193_1.01	NKX2-4
Homeodomain_M6193_1.01	NKX2-6
Homeodomain_M6193_1.01	NKX2-8
Homeodomain_Average_394	HMX1
Homeodomain_Average_394	HMX2
Homeodomain_Average_394	HMX3
Homeodomain_Average_394	ISL1
Homeodomain_Average_394	ISL2
Homeodomain_Average_394	NKX2-1
Homeodomain_Average_394	NKX2-2
Homeodomain_Average_394	NKX2-3
Homeodomain_Average_394	NKX2-4
Homeodomain_Average_394	NKX2-5
Homeodomain_Average_394	NKX2-6
Homeodomain_Average_394	NKX2-8
Homeodomain_Average_394	NKX3-1
Homeodomain_Average_394	NKX3-2
C2H2_ZF_M2812_1.01	KLF12
C2H2_ZF_M2812_1.01	KLF17
C2H2_ZF_M2812_1.01	KLF2
C2H2_ZF_M2812_1.01	KLF3
C2H2_ZF_M2812_1.01	KLF4
C2H2_ZF_M2812_1.01	KLF5
C2H2_ZF_M2812_1.01	KLF6
C2H2_ZF_M2812_1.01	KLF7
C2H2_ZF_M2812_1.01	KLF8
C2H2_ZF_M0411_1.01	ZBTB3
Unknown_M3565_1.01	EP300
C2H2_ZF_M6145_1.01	KLF12
C2H2_ZF_M6145_1.01	KLF17
C2H2_ZF_M6145_1.01	KLF2
C2H2_ZF_M6145_1.01	KLF3
C2H2_ZF_M6145_1.01	KLF4
C2H2_ZF_M6145_1.01	KLF5
C2H2_ZF_M6145_1.01	KLF6
C2H2_ZF_M6145_1.01	KLF7
C2H2_ZF_M6145_1.01	KLF8
Homeodomain_M3271_1.01	HMX1
Homeodomain_M3271_1.01	HMX2
Homeodomain_M3271_1.01	HMX3
C2H2_ZF_M5793_1.01	ZNF524
C2H2_ZF_M5794_1.01	ZNF524
HSF_M4439_1.01	HSF1
HSF_M4439_1.01	HSF4
Mixed_Average_11	TBX2
Mixed_Average_11	TBX3
Mixed_Average_11	TBX4
Mixed_Average_11	TBX5
Mixed_Average_11	MGA
Mixed_Average_6	EOMES
Mixed_Average_6	TBX21
Mixed_Average_6	MGA
Mixed_Average_6	T
Mixed_Average_6	VEGT
Mixed_Average_5	MGA
Mixed_Average_5	EOMES
Mixed_Average_5	TBR1
Mixed_Average_5	TBX1
Mixed_Average_5	TBX15
Mixed_Average_5	TBX18
Mixed_Average_5	TBX2
Mixed_Average_5	TBX20
Mixed_Average_5	TBX21
Mixed_Average_5	TBX22
Mixed_Average_5	TBX3
Mixed_Average_5	TBX4
Mixed_Average_5	TBX5
Mixed_Average_5	T
Mixed_Average_5	VEGT
T-box_M6322_1.01	TBX2
T-box_M6322_1.01	TBX3
T-box_M1713_1.01	T
T-box_M1713_1.01	EOMES
T-box_M1713_1.01	VEGT
T-box_Average_31	T
T-box_Average_31	EOMES
T-box_Average_31	VEGT
T-box_Average_1	TBX1
T-box_Average_1	TBX20
T-box_M5216_1.01	EOMES
T-box_M5216_1.01	TBR1
T-box_M5216_1.01	TBX21
T-box_M5216_1.01	T
T-box_M5216_1.01	VEGT
T-box_Average_26	EOMES
T-box_Average_26	TBX1
T-box_Average_26	TBX20
T-box_Average_26	TBX21
T-box_Average_26	T
T-box_Average_26	VEGT
C2H2_ZF_M6142_1.01	KLF12
C2H2_ZF_M6142_1.01	KLF17
C2H2_ZF_M6142_1.01	KLF2
C2H2_ZF_M6142_1.01	KLF3
C2H2_ZF_M6142_1.01	KLF4
C2H2_ZF_M6142_1.01	KLF5
C2H2_ZF_M6142_1.01	KLF6
C2H2_ZF_M6142_1.01	KLF7
C2H2_ZF_M6142_1.01	KLF8
T-box_M6323_1.01	TBX2
T-box_M6323_1.01	TBX3
Myb_SANT_M1261_1.01	MYPOP
E2F_Average_32	E2F1
E2F_Average_32	E2F3
E2F_Average_32	E2F4
E2F_Average_32	E2F5
Mixed_Average_41	E2F1
Mixed_Average_41	E2F3
Mixed_Average_41	E2F4
Mixed_Average_41	E2F5
Mixed_Average_41	E2F6
Mixed_Average_41	TFDP1
Mixed_Average_41	TFDP2
E2F_Average_31	E2F1
E2F_Average_31	E2F3
E2F_Average_31	E2F4
E2F_Average_31	E2F5
E2F_Average_31	E2F7
E2F_Average_33	E2F3
E2F_Average_27	E2F1
E2F_Average_27	E2F3
CxxC_M0548_1.01	MBD1
Mixed_Average_1	ZBTB33
Mixed_Average_1	BRCA1
Unknown_M5777_1.01	ZBED1
C2H2_ZF_M0392_1.01	ZNF410
C2H2_ZF_M5791_1.01	ZNF410
C2H2_ZF_Average_191	ZNF143
C2H2_ZF_M5789_1.01	ZNF282
Mixed_Average_8	SMARCC1
Mixed_Average_8	SMARCC2
Mixed_Average_8	ELK1
Mixed_Average_8	ELK3
Mixed_Average_8	ELK4
Mixed_Average_8	ERF
Mixed_Average_8	ERG
Mixed_Average_8	ETS1
Mixed_Average_8	ETS2
Mixed_Average_8	ETV1
Mixed_Average_8	ETV2
Mixed_Average_8	ETV3
Mixed_Average_8	FEV
Mixed_Average_8	GABPA
Mixed_Average_8	TBX2
Mixed_Average_8	TBX3
Mixed_Average_8	ZNF143
C2H2_ZF_Average_206	RREB1
SMAD_Average_7	NFIA
SMAD_Average_7	NFIB
SMAD_Average_7	NFIC
SMAD_Average_7	NFIX
C2H2_ZF_Average_177	HIC1
C2H2_ZF_Average_177	HIC2
THAP_finger_M2259_1.01	THAP1
C2H2_ZF_Average_137	ZFX
C2H2_ZF_Average_167	ZFX
C2H2_ZF_Average_194	MBTPS2
C2H2_ZF_Average_194	YY1
C2H2_ZF_Average_209	MBTPS2
C2H2_ZF_Average_209	YY1
C2H2_ZF_M5776_1.01	MBTPS2
C2H2_ZF_M5776_1.01	YY1
THAP_finger_M4506_1.01	THAP1
Mixed_Average_59	MBTPS2
Mixed_Average_59	YY1
Runt_Average_1	RUNX1
Runt_Average_1	RUNX2
Runt_Average_1	RUNX3
SAND_M5959_1.01	AIRE
Mixed_Average_17	CBFB
Mixed_Average_17	RUNX1
Mixed_Average_17	RUNX2
Mixed_Average_17	RUNX3
Runt_Average_10	RUNX1
Runt_Average_10	RUNX2
Runt_Average_10	RUNX3
bHLH_M0210_1.01	BHLHE23
bHLH_M0210_1.01	OLIG1
bHLH_M0210_1.01	OLIG2
bHLH_M0210_1.01	OLIG3
bHLH_M0210_1.01	OLIG4
bZIP_M2901_1.01	CEBPA
bZIP_M2901_1.01	CEBPB
bZIP_M2901_1.01	CEBPD
Forkhead_M2151_1.01	FOXH1
Forkhead_M2151_1.01	FOXH1.2
Mixed_Average_63	MTF1
Mixed_Average_63	MTF1
Mixed_Average_55	FOXO1
Mixed_Average_55	FOXO3
Mixed_Average_55	FOXO4
Mixed_Average_55	FOXO6
bHLH_M6031_1.01	EPAS1
bHLH_M6031_1.01	HIF1A
bHLH_M6031_1.01	NPAS3
C2H2_ZF_M6019_1.01	EGR1
C2H2_ZF_M6019_1.01	EGR2
C2H2_ZF_M6019_1.01	EGR3
C2H2_ZF_M6019_1.01	EGR4
C2H2_ZF_Average_180	EGR1
C2H2_ZF_Average_180	EGR2
C2H2_ZF_Average_180	EGR3
C2H2_ZF_Average_180	EGR4
C2H2_ZF_Average_216	EGR1
C2H2_ZF_Average_216	EGR2
C2H2_ZF_Average_216	EGR3
C2H2_ZF_Average_216	EGR4
Unknown_M6200_1.01	NR0B1
bHLH_M5969_1.01	ARNT
bHLH_M5969_1.01	ARNT2
C2H2_ZF_Average_204	GLI1
C2H2_ZF_Average_204	GLI2
C2H2_ZF_Average_204	GLI3
C2H2_ZF_Average_204	ZBTB7B
C2H2_ZF_Average_204	ZBTB7C
C2H2_ZF_M5308_1.01	GLI1
C2H2_ZF_M5308_1.01	GLI2
C2H2_ZF_M5308_1.01	GLI3
C2H2_ZF_Average_124	INSM1
C2H2_ZF_Average_200	CTCF
C2H2_ZF_M6020_1.01	EGR1
C2H2_ZF_M6020_1.01	EGR2
C2H2_ZF_M6020_1.01	EGR4
C2H2_ZF_M6155_1.01	MAZ
C2H2_ZF_M6140_1.01	KLF15
C2H2_ZF_M6140_1.01	KLF15.2
Unknown_M6261_1.01	PURA
Rel_M5957_1.01	REL
Rel_M5957_1.01	RELA
C2H2_ZF_M5955_1.01	BCL6
C2H2_ZF_Average_179	MZF1
C2H2_ZF_M6239_1.01	PLAG1
