Motif	Factor	Evidence	Curated
Forkhead_Average_14	FOXJ2	ChIP-seq	Y
Forkhead_Average_14	FOXJ3	ChIP-seq	Y
Forkhead_Average_14	FOXK2	ChIP-seq	Y
Forkhead_Average_14	FOXL1	ChIP-seq	Y
Forkhead_Average_14	FOXL2	ChIP-seq	Y
Forkhead_Average_14	FOXQ1	ChIP-seq	Y
EIN3_Average_2	BRCA1	ChIP-seq	Y
Myb_SANT_M6168_1.01	MYBL2	ChIP-seq	Y
Mixed_Average_54	PAX2	ChIP-seq	Y
Mixed_Average_54	ZEB1	ChIP-seq	Y
Mixed_Average_28	KLF10	ChIP-seq	Y
Mixed_Average_28	KLF11	ChIP-seq	Y
Mixed_Average_28	KLF13	ChIP-seq	Y
Mixed_Average_28	KLF9	ChIP-seq	Y
Mixed_Average_28	MYB	ChIP-seq	Y
Mixed_Average_28	MYBL1	ChIP-seq	Y
Mixed_Average_28	MYBL2	ChIP-seq	Y
Myb_SANT_Average_6	MYB	ChIP-seq	Y
Myb_SANT_Average_6	MYBL1	ChIP-seq	Y
Myb_SANT_Average_6	MYBL2	ChIP-seq	Y
C2H2_ZF_M6221_1.01	OVOL1	ChIP-seq	Y
Myb_SANT_Average_10	MYB	ChIP-seq	Y
Myb_SANT_Average_10	MYBL1	ChIP-seq	Y
Myb_SANT_Average_10	MYBL2	ChIP-seq	Y
Myb_SANT_Average_5	MYB	ChIP-seq	Y
Myb_SANT_Average_5	MYBL1	ChIP-seq	Y
Myb_SANT_Average_5	MYBL2	ChIP-seq	Y
Myb_SANT_M1793_1.01	MYB	ChIP-seq	Y
Myb_SANT_M2938_1.01	MYB	ChIP-seq	Y
Myb_SANT_Average_9	MYB	ChIP-seq	Y
Myb_SANT_Average_9	MYBL1	ChIP-seq	Y
Myb_SANT_Average_9	MYBL2	ChIP-seq	Y
RFX_Average_30	RFX1	ChIP-seq	Y
RFX_Average_30	RFX2	ChIP-seq	Y
RFX_Average_30	RFX3	ChIP-seq	Y
RFX_Average_30	RFX4	ChIP-seq	Y
RFX_Average_30	RFX5	ChIP-seq	Y
RFX_Average_30	RFX6	ChIP-seq	Y
RFX_Average_30	RFX7	ChIP-seq	Y
Grainyhead_Average_4	GRHL1	ChIP-seq	Y
Grainyhead_Average_4	TFCP2	ChIP-seq	Y
Grainyhead_Average_4	UBP1	ChIP-seq	Y
Grainyhead_M5316_1.01	GRHL1	ChIP-seq	Y
Homeodomain_M5349_1.01	HOMEZ	ChIP-seq	Y
Forkhead_M6055_1.01	FOXA1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXA2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXA4	ChIP-seq	Y
Forkhead_M6055_1.01	FOXB1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXB2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXC1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXC2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD3	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD4L1.1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD4L1.2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXE1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXE3	ChIP-seq	Y
Forkhead_M6055_1.01	FOXF1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXF2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI4.1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI4.2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXJ1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXJ1.2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXJ2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXJ3	ChIP-seq	Y
Forkhead_M6055_1.01	FOXK2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXL1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXL2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXQ1	ChIP-seq	Y
C2H2_ZF_M6376_1.01	ZNF384	ChIP-seq	Y
Unknown_Average_6	BPTF	ChIP-seq	Y
ARID_BRIGHT_Average_4	ARID5B	ChIP-seq	Y
Nuclear_receptor_Average_171	AR	ChIP-seq	Y
Nuclear_receptor_Average_171	NR3C1	ChIP-seq	Y
Nuclear_receptor_Average_171	NR3C2	ChIP-seq	Y
Nuclear_receptor_Average_171	PGR	ChIP-seq	Y
Nuclear_receptor_M1354_1.01	AR	ChIP-seq	Y
Nuclear_receptor_M1354_1.01	NR3C1	ChIP-seq	Y
Nuclear_receptor_M1354_1.01	NR3C2	ChIP-seq	Y
Nuclear_receptor_M1354_1.01	PGR	ChIP-seq	Y
Nuclear_receptor_Average_157	AR	ChIP-seq	Y
Nuclear_receptor_Average_157	NR3C1	ChIP-seq	Y
Nuclear_receptor_Average_157	NR3C2	ChIP-seq	Y
Nuclear_receptor_Average_157	PGR	ChIP-seq	Y
Sox_Average_91	SOX1	ChIP-seq	Y
Sox_Average_91	SOX10	ChIP-seq	Y
Sox_Average_91	SOX13	ChIP-seq	Y
Sox_Average_91	SOX14	ChIP-seq	Y
Sox_Average_91	SOX17A	ChIP-seq	Y
Sox_Average_91	SOX17B.1	ChIP-seq	Y
Sox_Average_91	SOX2	ChIP-seq	Y
Sox_Average_91	SOX21	ChIP-seq	Y
Sox_Average_91	SOX5	ChIP-seq	Y
Sox_Average_91	SOX6	ChIP-seq	Y
Sox_Average_91	SOX8	ChIP-seq	Y
Sox_Average_91	SOX9	ChIP-seq	Y
Sox_Average_82	SOX1	ChIP-seq	Y
Sox_Average_82	SOX10	ChIP-seq	Y
Sox_Average_82	SOX11	ChIP-seq	Y
Sox_Average_82	SOX14	ChIP-seq	Y
Sox_Average_82	SOX15	ChIP-seq	Y
Sox_Average_82	SOX2	ChIP-seq	Y
Sox_Average_82	SOX21	ChIP-seq	Y
Sox_Average_82	SOX3	ChIP-seq	Y
Sox_Average_82	SOX4	ChIP-seq	Y
Sox_Average_82	SOX6	ChIP-seq	Y
Sox_Average_82	SOX9	ChIP-seq	Y
Sox_M6293_1.01	SOX18	ChIP-seq	Y
Mixed_Average_51	PAX4	ChIP-seq	Y
Mixed_Average_51	PAX4	ChIP-seq	Y
AT_hook_M0131_1.01	AHCTF1	ChIP-seq	Y
Forkhead_M0644_1.01	FOXM1	ChIP-seq	Y
Forkhead_M6063_1.01	FOXM1	ChIP-seq	Y
Forkhead_Average_98	FOXA1	ChIP-seq	Y
Forkhead_Average_98	FOXA2	ChIP-seq	Y
Forkhead_Average_98	FOXA4	ChIP-seq	Y
Forkhead_Average_98	FOXB1	ChIP-seq	Y
Forkhead_Average_98	FOXB2	ChIP-seq	Y
Forkhead_Average_98	FOXC1	ChIP-seq	Y
Forkhead_Average_98	FOXC2	ChIP-seq	Y
Forkhead_Average_98	FOXD1	ChIP-seq	Y
Forkhead_Average_98	FOXD2	ChIP-seq	Y
Forkhead_Average_98	FOXD3	ChIP-seq	Y
Forkhead_Average_98	FOXD4L1.1	ChIP-seq	Y
Forkhead_Average_98	FOXD4L1.2	ChIP-seq	Y
Forkhead_Average_98	FOXE1	ChIP-seq	Y
Forkhead_Average_98	FOXE3	ChIP-seq	Y
Forkhead_Average_98	FOXF1	ChIP-seq	Y
Forkhead_Average_98	FOXF2	ChIP-seq	Y
Forkhead_Average_98	FOXG1	ChIP-seq	Y
Forkhead_Average_98	FOXI1	ChIP-seq	Y
Forkhead_Average_98	FOXI2	ChIP-seq	Y
Forkhead_Average_98	FOXI4.1	ChIP-seq	Y
Forkhead_Average_98	FOXI4.2	ChIP-seq	Y
Forkhead_Average_98	FOXJ1	ChIP-seq	Y
Forkhead_Average_98	FOXJ1.2	ChIP-seq	Y
Forkhead_Average_98	FOXJ2	ChIP-seq	Y
Forkhead_Average_98	FOXJ3	ChIP-seq	Y
Forkhead_Average_98	FOXK2	ChIP-seq	Y
Forkhead_Average_98	FOXL1	ChIP-seq	Y
Forkhead_Average_98	FOXL2	ChIP-seq	Y
Forkhead_Average_98	FOXO1	ChIP-seq	Y
Forkhead_Average_98	FOXO3	ChIP-seq	Y
Forkhead_Average_98	FOXO4	ChIP-seq	Y
Forkhead_Average_98	FOXO6	ChIP-seq	Y
Forkhead_Average_98	FOXP1	ChIP-seq	Y
Forkhead_Average_98	FOXP2	ChIP-seq	Y
Forkhead_Average_98	FOXP3	ChIP-seq	Y
Forkhead_Average_98	FOXP4	ChIP-seq	Y
Forkhead_Average_98	FOXQ1	ChIP-seq	Y
Forkhead_Average_104	FOXA1	ChIP-seq	Y
Forkhead_Average_104	FOXA2	ChIP-seq	Y
Forkhead_Average_104	FOXA4	ChIP-seq	Y
Forkhead_Average_104	FOXB1	ChIP-seq	Y
Forkhead_Average_104	FOXB2	ChIP-seq	Y
Forkhead_Average_104	FOXC1	ChIP-seq	Y
Forkhead_Average_104	FOXC2	ChIP-seq	Y
Forkhead_Average_104	FOXD1	ChIP-seq	Y
Forkhead_Average_104	FOXD2	ChIP-seq	Y
Forkhead_Average_104	FOXD3	ChIP-seq	Y
Forkhead_Average_104	FOXD4L1.1	ChIP-seq	Y
Forkhead_Average_104	FOXD4L1.2	ChIP-seq	Y
Forkhead_Average_104	FOXE1	ChIP-seq	Y
Forkhead_Average_104	FOXE3	ChIP-seq	Y
Forkhead_Average_104	FOXF1	ChIP-seq	Y
Forkhead_Average_104	FOXF2	ChIP-seq	Y
Forkhead_Average_104	FOXI1	ChIP-seq	Y
Forkhead_Average_104	FOXI2	ChIP-seq	Y
Forkhead_Average_104	FOXI4.1	ChIP-seq	Y
Forkhead_Average_104	FOXI4.2	ChIP-seq	Y
Forkhead_Average_104	FOXJ1	ChIP-seq	Y
Forkhead_Average_104	FOXJ1.2	ChIP-seq	Y
Forkhead_Average_104	FOXJ2	ChIP-seq	Y
Forkhead_Average_104	FOXJ3	ChIP-seq	Y
Forkhead_Average_104	FOXK2	ChIP-seq	Y
Forkhead_Average_104	FOXL1	ChIP-seq	Y
Forkhead_Average_104	FOXL2	ChIP-seq	Y
Forkhead_Average_104	FOXQ1	ChIP-seq	Y
Homeodomain_M3061_1.01	EN1	ChIP-seq	Y
Homeodomain_M3061_1.01	EN2	ChIP-seq	Y
Homeodomain_M1729_1.01	EN1	ChIP-seq	Y
Homeodomain_M1729_1.01	EN2	ChIP-seq	Y
Nuclear_receptor_M6157_1.01	AR	ChIP-seq	Y
Nuclear_receptor_M6157_1.01	NR3C1	ChIP-seq	Y
Nuclear_receptor_M6157_1.01	NR3C2	ChIP-seq	Y
Nuclear_receptor_M6157_1.01	PGR	ChIP-seq	Y
Sox_Average_46	SOX1	ChIP-seq	Y
Sox_Average_46	SOX10	ChIP-seq	Y
Sox_Average_46	SOX11	ChIP-seq	Y
Sox_Average_46	SOX14	ChIP-seq	Y
Sox_Average_46	SOX15	ChIP-seq	Y
Sox_Average_46	SOX17A	ChIP-seq	Y
Sox_Average_46	SOX17B.1	ChIP-seq	Y
Sox_Average_46	SOX18	ChIP-seq	Y
Sox_Average_46	SOX2	ChIP-seq	Y
Sox_Average_46	SOX21	ChIP-seq	Y
Sox_Average_46	SOX3	ChIP-seq	Y
Sox_Average_46	SOX4	ChIP-seq	Y
Sox_Average_46	SOX7	ChIP-seq	Y
Sox_Average_46	SOX8	ChIP-seq	Y
Sox_Average_46	SOX9	ChIP-seq	Y
Sox_Average_96	SOX1	ChIP-seq	Y
Sox_Average_96	SOX10	ChIP-seq	Y
Sox_Average_96	SOX14	ChIP-seq	Y
Sox_Average_96	SOX15	ChIP-seq	Y
Sox_Average_96	SOX17A	ChIP-seq	Y
Sox_Average_96	SOX17B.1	ChIP-seq	Y
Sox_Average_96	SOX18	ChIP-seq	Y
Sox_Average_96	SOX2	ChIP-seq	Y
Sox_Average_96	SOX21	ChIP-seq	Y
Sox_Average_96	SOX3	ChIP-seq	Y
Sox_Average_96	SOX7	ChIP-seq	Y
Sox_Average_96	SOX8	ChIP-seq	Y
Sox_Average_96	SOX9	ChIP-seq	Y
Sox_Average_54	SOX10	ChIP-seq	Y
Sox_Average_54	SOX2	ChIP-seq	Y
Sox_Average_54	SOX21	ChIP-seq	Y
Sox_Average_54	SOX7	ChIP-seq	Y
Sox_Average_54	SOX8	ChIP-seq	Y
Sox_Average_54	SOX9	ChIP-seq	Y
Sox_M6292_1.01	SOX17A	ChIP-seq	Y
Sox_M6292_1.01	SOX17B.1	ChIP-seq	Y
C2H2_ZF_Average_220	MECOM	ChIP-seq	Y
C2H2_ZF_Average_220	PRDM16	ChIP-seq	Y
C2H2_ZF_M3098_1.01	MECOM	ChIP-seq	Y
C2H2_ZF_M3098_1.01	PRDM16	ChIP-seq	Y
Myb_SANT_Average_3	CDC5L	ChIP-seq	Y
